test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci RecOrRec 2.0 2 0.0000000	0.59	0.69	0.46	0.56	0.53	0.67	0.42	0.52	0.55	0.67	0.43	0.52	0.59	0.69	0.45	0.56	0.59	0.69	0.45	0.56	0.58	0.67	0.47	0.56	0.61	0.75	0.47	0.57	0.61	0.75	0.47	0.57	0.57	0.69	0.46	0.55
PowerTwoLoci RecOrRec 2.4 2 0.0000000	0.66	0.77	0.54	0.62	0.59	0.74	0.5	0.56	0.61	0.75	0.51	0.57	0.65	0.77	0.5	0.62	0.65	0.77	0.5	0.62	0.65	0.77	0.51	0.63	0.67	0.81	0.52	0.62	0.67	0.81	0.52	0.62	0.64	0.75	0.54	0.62
PowerTwoLoci RecOrRec 2.6 2 0.0000000	0.69	0.81	0.58	0.65	0.67	0.76	0.51	0.58	0.67	0.76	0.52	0.59	0.71	0.8	0.57	0.64	0.7	0.8	0.57	0.64	0.71	0.8	0.57	0.67	0.73	0.83	0.57	0.65	0.73	0.83	0.57	0.65	0.68	0.8	0.58	0.66
PowerTwoLoci Threshold 1.2 2 0.0000000	0.42	0.57	0.27	0.35	0.35	0.52	0.24	0.3	0.37	0.53	0.29	0.31	0.43	0.58	0.25	0.34	0.43	0.58	0.25	0.34	0.43	0.55	0.26	0.38	0.46	0.59	0.27	0.37	0.46	0.59	0.27	0.37	0.41	0.55	0.28	0.33
PowerTwoLoci Threshold 1.6 2 0.0000000	0.5	0.62	0.38	0.47	0.47	0.6	0.32	0.41	0.47	0.61	0.32	0.42	0.52	0.64	0.36	0.47	0.52	0.64	0.36	0.47	0.49	0.61	0.41	0.47	0.53	0.69	0.39	0.48	0.53	0.69	0.39	0.48	0.5	0.61	0.38	0.46
PowerTwoLoci Threshold 2.0 2 0.0000000	0.59	0.69	0.46	0.56	0.53	0.67	0.42	0.52	0.55	0.67	0.43	0.52	0.59	0.69	0.45	0.56	0.59	0.69	0.45	0.56	0.58	0.67	0.47	0.56	0.61	0.75	0.47	0.57	0.61	0.75	0.47	0.57	0.57	0.69	0.46	0.55
PowerTwoLoci Threshold 2.4 2 0.0000000	0.66	0.77	0.54	0.62	0.59	0.74	0.5	0.56	0.61	0.75	0.51	0.57	0.65	0.77	0.5	0.62	0.65	0.77	0.5	0.62	0.65	0.77	0.51	0.63	0.67	0.81	0.52	0.62	0.67	0.81	0.52	0.62	0.64	0.75	0.54	0.62
PowerTwoLoci Threshold 2.6 2 0.0000000	0.69	0.81	0.58	0.65	0.67	0.76	0.51	0.58	0.67	0.76	0.52	0.59	0.71	0.8	0.57	0.64	0.7	0.8	0.57	0.64	0.71	0.8	0.57	0.67	0.73	0.83	0.57	0.65	0.73	0.83	0.57	0.65	0.68	0.8	0.58	0.66
PowerTwoLoci Modified 1.2 2 0.0000000	0.42	0.57	0.27	0.35	0.35	0.52	0.24	0.3	0.37	0.53	0.29	0.31	0.43	0.58	0.25	0.34	0.43	0.58	0.25	0.34	0.43	0.55	0.26	0.38	0.46	0.59	0.27	0.37	0.46	0.59	0.27	0.37	0.41	0.55	0.28	0.33
PowerTwoLoci Modified 1.6 2 0.0000000	0.5	0.62	0.38	0.47	0.47	0.6	0.32	0.41	0.47	0.61	0.32	0.42	0.52	0.64	0.36	0.47	0.52	0.64	0.36	0.47	0.49	0.61	0.41	0.47	0.53	0.69	0.39	0.48	0.53	0.69	0.39	0.48	0.5	0.61	0.38	0.46
PowerTwoLoci Modified 2.0 2 0.0000000	0.59	0.69	0.46	0.56	0.53	0.67	0.42	0.52	0.55	0.67	0.43	0.52	0.59	0.69	0.45	0.56	0.59	0.69	0.45	0.56	0.58	0.67	0.47	0.56	0.61	0.75	0.47	0.57	0.61	0.75	0.47	0.57	0.57	0.69	0.46	0.55
