test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci Additive 1.6 10 0.0002000 0.09 0.21 0.05 0.09 0.09 0.16 0.04 0.07 0.13 0.28 0.05 0.11 0.17 0.47 0.07 0.11 0.16 0.42 0.05 0.08 0.07 0.21 0.06 0.07 0.24 0.69 0.09 0.14 0.23 0.57 0.07 0.11 0.08 0.12 0.04 0.06
PowerTwoLoci Additive 2.0 10 0.0000000 0.67 0.74 0.62 0.64 0.63 0.68 0.55 0.61 0.65 0.73 0.6 0.65 0.7 0.86 0.57 0.67 0.69 0.8 0.58 0.66 0.71 0.76 0.62 0.69 0.74 0.87 0.61 0.69 0.74 0.84 0.61 0.69 0.63 0.7 0.59 0.63
PowerTwoLoci Additive 2.0 10 0.0000500 0.38 0.5 0.29 0.34 0.34 0.43 0.25 0.3 0.38 0.51 0.3 0.35 0.47 0.72 0.32 0.43 0.47 0.64 0.3 0.42 0.4 0.54 0.29 0.34 0.52 0.79 0.33 0.47 0.5 0.7 0.31 0.46 0.3 0.42 0.25 0.3
PowerTwoLoci Additive 2.0 10 0.0001000 0.21 0.31 0.14 0.18 0.17 0.26 0.12 0.14 0.22 0.34 0.14 0.2 0.26 0.58 0.15 0.21 0.24 0.49 0.12 0.22 0.19 0.31 0.08 0.12 0.3 0.7 0.18 0.24 0.29 0.59 0.14 0.25 0.15 0.24 0.1 0.14
PowerTwoLoci Additive 2.0 10 0.0001500 0.13 0.27 0.06 0.1 0.08 0.2 0.03 0.05 0.13 0.28 0.07 0.1 0.26 0.51 0.06 0.21 0.26 0.46 0.06 0.18 0.13 0.2 0.03 0.11 0.34 0.68 0.1 0.3 0.34 0.64 0.1 0.24 0.06 0.16 0.04 0.05
PowerTwoLoci Additive 2.0 10 0.0002000 0.13 0.25 0.09 0.12 0.12 0.19 0.06 0.08 0.14 0.29 0.09 0.13 0.22 0.47 0.08 0.15 0.22 0.44 0.07 0.14 0.08 0.23 0.05 0.07 0.3 0.66 0.09 0.16 0.29 0.6 0.08 0.16 0.08 0.15 0.06 0.08
PowerTwoLoci Additive 2.4 10 0.0000000 0.69 0.74 0.65 0.69 0.67 0.69 0.59 0.63 0.68 0.74 0.64 0.68 0.73 0.81 0.64 0.72 0.73 0.81 0.64 0.69 0.72 0.76 0.66 0.72 0.78 0.87 0.67 0.76 0.77 0.87 0.68 0.75 0.67 0.69 0.62 0.65
PowerTwoLoci Additive 2.4 10 0.0000500 0.39 0.55 0.34 0.36 0.39 0.48 0.28 0.35 0.39 0.55 0.35 0.37 0.51 0.68 0.37 0.48 0.49 0.67 0.36 0.47 0.45 0.59 0.31 0.41 0.54 0.77 0.38 0.49 0.52 0.73 0.37 0.49 0.38 0.46 0.28 0.35
PowerTwoLoci Additive 2.4 10 0.0001000 0.23 0.31 0.14 0.22 0.2 0.27 0.12 0.18 0.25 0.33 0.17 0.23 0.28 0.62 0.16 0.24 0.26 0.54 0.13 0.24 0.2 0.34 0.11 0.16 0.34 0.72 0.18 0.26 0.3 0.64 0.14 0.25 0.18 0.25 0.13 0.15
PowerTwoLoci Additive 2.4 10 0.0001500 0.14 0.28 0.09 0.12 0.1 0.22 0.05 0.08 0.16 0.31 0.08 0.12 0.25 0.51 0.1 0.22 0.26 0.46 0.09 0.2 0.13 0.21 0.05 0.11 0.36 0.71 0.14 0.33 0.36 0.64 0.11 0.3 0.1 0.18 0.05 0.07
PowerTwoLoci Additive 2.4 10 0.0002000 0.17 0.3 0.1 0.13 0.13 0.26 0.07 0.11 0.19 0.35 0.11 0.13 0.25 0.5 0.09 0.18 0.24 0.48 0.09 0.17 0.11 0.27 0.06 0.09 0.29 0.71 0.1 0.19 0.28 0.68 0.1 0.2 0.11 0.2 0.07 0.08
PowerTwoLoci Additive 2.6 10 0.0000000 0.69 0.74 0.65 0.68 0.65 0.68 0.62 0.64 0.68 0.73 0.64 0.66 0.73 0.83 0.64 0.7 0.73 0.82 0.64 0.7 0.72 0.77 0.68 0.7 0.79 0.89 0.66 0.73 0.79 0.86 0.67 0.72 0.66 0.7 0.64 0.64
PowerTwoLoci Additive 2.6 10 0.0000500 0.45 0.55 0.35 0.41 0.39 0.5 0.3 0.37 0.45 0.56 0.36 0.38 0.52 0.73 0.39 0.47 0.5 0.68 0.35 0.49 0.47 0.56 0.32 0.44 0.56 0.8 0.4 0.49 0.54 0.73 0.36 0.51 0.4 0.47 0.3 0.37
PowerTwoLoci Additive 2.6 10 0.0001000 0.25 0.33 0.18 0.24 0.22 0.29 0.13 0.2 0.27 0.38 0.18 0.25 0.31 0.59 0.18 0.25 0.27 0.53 0.15 0.24 0.19 0.35 0.14 0.18 0.37 0.67 0.2 0.28 0.3 0.62 0.16 0.26 0.21 0.26 0.14 0.16
PowerTwoLoci Additive 2.6 10 0.0001500 0.16 0.32 0.09 0.11 0.1 0.26 0.05 0.1 0.18 0.35 0.08 0.11 0.26 0.52 0.1 0.23 0.24 0.5 0.11 0.21 0.13 0.22 0.05 0.11 0.36 0.69 0.17 0.34 0.35 0.64 0.14 0.3 0.12 0.21 0.04 0.07
PowerTwoLoci Additive 2.6 10 0.0002000 0.14 0.29 0.12 0.14 0.14 0.24 0.07 0.13 0.15 0.33 0.12 0.15 0.24 0.44 0.11 0.18 0.22 0.39 0.08 0.14 0.1 0.24 0.08 0.1 0.3 0.66 0.12 0.2 0.28 0.58 0.09 0.17 0.13 0.2 0.07 0.09
PowerTwoLoci DomOrDom 1.2 10 0.0000000 0.61 0.7 0.51 0.57 0.54 0.62 0.45 0.51 0.57 0.71 0.5 0.54 0.62 0.78 0.49 0.56 0.59 0.79 0.48 0.57 0.63 0.74 0.54 0.63 0.68 0.82 0.54 0.65 0.68 0.84 0.54 0.66 0.54 0.62 0.44 0.53
PowerTwoLoci DomOrDom 1.2 10 0.0000500 0.25 0.37 0.19 0.21 0.19 0.32 0.13 0.18 0.27 0.41 0.18 0.22 0.34 0.61 0.15 0.26 0.32 0.56 0.16 0.24 0.24 0.39 0.14 0.22 0.4 0.71 0.18 0.33 0.37 0.64 0.19 0.3 0.2 0.3 0.12 0.19
PowerTwoLoci DomOrDom 1.2 10 0.0001000 0.14 0.17 0.06 0.13 0.11 0.15 0.03 0.09 0.14 0.21 0.08 0.13 0.14 0.52 0.08 0.09 0.13 0.45 0.06 0.09 0.08 0.25 0.02 0.06 0.21 0.61 0.09 0.14 0.2 0.55 0.07 0.11 0.09 0.15 0.03 0.06
PowerTwoLoci DomOrDom 1.2 10 0.0001500 0.08 0.2 0.05 0.07 0.07 0.12 0.02 0.05 0.08 0.26 0.06 0.07 0.19 0.44 0.03 0.16 0.19 0.37 0.03 0.14 0.09 0.18 0.02 0.04 0.25 0.61 0.04 0.18 0.23 0.53 0.04 0.16 0.06 0.11 0.02 0.05
PowerTwoLoci DomOrDom 1.2 10 0.0002000 0.08 0.17 0.04 0.07 0.07 0.13 0.04 0.06 0.08 0.22 0.05 0.06 0.15 0.44 0.05 0.11 0.13 0.4 0.04 0.09 0.07 0.17 0.02 0.05 0.2 0.65 0.04 0.15 0.19 0.59 0.03 0.11 0.06 0.11 0.04 0.04
PowerTwoLoci DomOrDom 1.6 10 0.0000000 0.67 0.72 0.58 0.64 0.61 0.67 0.51 0.58 0.64 0.72 0.57 0.61 0.66 0.8 0.58 0.63 0.66 0.81 0.58 0.65 0.73 0.77 0.59 0.67 0.71 0.83 0.62 0.67 0.7 0.83 0.62 0.67 0.63 0.69 0.54 0.6
PowerTwoLoci DomOrDom 1.6 10 0.0000500 0.37 0.45 0.25 0.31 0.29 0.43 0.2 0.23 0.37 0.49 0.23 0.33 0.45 0.7 0.25 0.41 0.43 0.64 0.23 0.4 0.36 0.51 0.24 0.32 0.51 0.77 0.27 0.44 0.47 0.71 0.25 0.43 0.3 0.39 0.21 0.24
PowerTwoLoci DomOrDom 1.6 10 0.0001000 0.2 0.27 0.12 0.2 0.16 0.25 0.08 0.13 0.22 0.3 0.13 0.2 0.25 0.51 0.11 0.18 0.23 0.43 0.1 0.17 0.19 0.27 0.06 0.11 0.29 0.63 0.13 0.23 0.28 0.51 0.11 0.21 0.15 0.24 0.07 0.12
PowerTwoLoci DomOrDom 1.6 10 0.0001500 0.11 0.25 0.06 0.09 0.08 0.18 0.04 0.05 0.11 0.28 0.06 0.1 0.24 0.48 0.05 0.15 0.23 0.4 0.06 0.12 0.13 0.17 0.05 0.09 0.33 0.64 0.07 0.23 0.33 0.54 0.08 0.17 0.08 0.14 0.03 0.08
PowerTwoLoci DomOrDom 1.6 10 0.0002000 0.12 0.23 0.06 0.09 0.1 0.2 0.04 0.08 0.14 0.27 0.07 0.1 0.2 0.51 0.07 0.13 0.16 0.4 0.06 0.12 0.08 0.21 0.06 0.07 0.25 0.7 0.09 0.15 0.22 0.6 0.08 0.17 0.09 0.14 0.04 0.07
PowerTwoLoci DomOrDom 2.0 10 0.0000000 0.68 0.72 0.65 0.67 0.63 0.7 0.6 0.62 0.68 0.72 0.62 0.67 0.71 0.8 0.62 0.69 0.71 0.8 0.62 0.66 0.71 0.74 0.65 0.69 0.77 0.87 0.64 0.73 0.77 0.86 0.65 0.71 0.65 0.69 0.62 0.64
PowerTwoLoci DomOrDom 2.0 10 0.0000500 0.39 0.52 0.34 0.36 0.36 0.49 0.33 0.35 0.38 0.54 0.35 0.37 0.48 0.7 0.33 0.45 0.46 0.64 0.32 0.43 0.43 0.54 0.32 0.39 0.54 0.8 0.37 0.47 0.53 0.72 0.36 0.45 0.35 0.45 0.33 0.35
PowerTwoLoci DomOrDom 2.0 10 0.0001000 0.27 0.34 0.15 0.24 0.2 0.3 0.15 0.18 0.26 0.35 0.17 0.23 0.3 0.57 0.17 0.22 0.26 0.51 0.16 0.22 0.21 0.31 0.11 0.19 0.35 0.73 0.18 0.26 0.3 0.66 0.16 0.24 0.19 0.28 0.14 0.16
PowerTwoLoci DomOrDom 2.0 10 0.0001500 0.13 0.28 0.06 0.11 0.11 0.19 0.05 0.06 0.14 0.31 0.06 0.1 0.26 0.51 0.08 0.19 0.22 0.47 0.08 0.18 0.14 0.21 0.05 0.1 0.36 0.7 0.14 0.3 0.34 0.61 0.1 0.29 0.07 0.17 0.06 0.06
PowerTwoLoci DomOrDom 2.0 10 0.0002000 0.17 0.3 0.11 0.15 0.15 0.23 0.07 0.12 0.21 0.31 0.13 0.18 0.23 0.49 0.11 0.16 0.21 0.46 0.08 0.14 0.11 0.29 0.06 0.1 0.33 0.69 0.12 0.2 0.3 0.66 0.11 0.19 0.13 0.19 0.07 0.1
PowerTwoLoci DomOrDom 2.4 10 0.0000000 0.71 0.76 0.67 0.69 0.65 0.71 0.63 0.65 0.69 0.76 0.67 0.67 0.74 0.83 0.67 0.73 0.75 0.8 0.66 0.72 0.72 0.79 0.68 0.71 0.77 0.9 0.68 0.75 0.77 0.86 0.68 0.74 0.67 0.69 0.64 0.66
PowerTwoLoci DomOrDom 2.4 10 0.0000500 0.48 0.58 0.39 0.43 0.41 0.52 0.35 0.39 0.47 0.57 0.38 0.42 0.53 0.73 0.4 0.48 0.52 0.7 0.39 0.47 0.51 0.58 0.38 0.48 0.57 0.8 0.4 0.5 0.57 0.73 0.39 0.5 0.43 0.52 0.36 0.39
PowerTwoLoci DomOrDom 2.4 10 0.0001000 0.29 0.36 0.2 0.27 0.28 0.32 0.19 0.25 0.3 0.38 0.24 0.29 0.34 0.65 0.2 0.3 0.29 0.58 0.19 0.27 0.23 0.37 0.15 0.2 0.37 0.8 0.21 0.33 0.33 0.71 0.19 0.3 0.26 0.32 0.17 0.23
PowerTwoLoci DomOrDom 2.4 10 0.0001500 0.17 0.38 0.1 0.14 0.14 0.32 0.06 0.1 0.26 0.38 0.09 0.15 0.27 0.54 0.11 0.24 0.25 0.47 0.09 0.22 0.14 0.26 0.04 0.12 0.4 0.71 0.17 0.33 0.36 0.66 0.13 0.31 0.13 0.26 0.06 0.07
PowerTwoLoci DomOrDom 2.4 10 0.0002000 0.19 0.35 0.12 0.18 0.2 0.27 0.09 0.14 0.21 0.37 0.13 0.2 0.25 0.47 0.09 0.18 0.22 0.45 0.08 0.13 0.14 0.29 0.05 0.12 0.34 0.66 0.1 0.21 0.31 0.64 0.1 0.19 0.15 0.24 0.07 0.12
PowerTwoLoci DomOrDom 2.6 10 0.0000000 0.72 0.75 0.68 0.71 0.66 0.7 0.64 0.65 0.71 0.76 0.66 0.69 0.75 0.85 0.7 0.73 0.75 0.82 0.66 0.72 0.73 0.81 0.69 0.73 0.77 0.89 0.71 0.74 0.77 0.86 0.69 0.73 0.66 0.72 0.65 0.66
PowerTwoLoci DomOrDom 2.6 10 0.0000500 0.52 0.58 0.43 0.48 0.46 0.54 0.36 0.4 0.49 0.62 0.39 0.46 0.57 0.71 0.42 0.49 0.55 0.68 0.41 0.51 0.53 0.59 0.44 0.51 0.62 0.79 0.42 0.52 0.61 0.74 0.42 0.54 0.46 0.53 0.38 0.43
PowerTwoLoci DomOrDom 2.6 10 0.0001000 0.31 0.38 0.21 0.28 0.3 0.34 0.18 0.27 0.32 0.39 0.25 0.28 0.38 0.64 0.23 0.28 0.31 0.58 0.2 0.28 0.25 0.38 0.14 0.18 0.44 0.77 0.23 0.32 0.36 0.69 0.21 0.31 0.26 0.32 0.17 0.23
PowerTwoLoci DomOrDom 2.6 10 0.0001500 0.21 0.41 0.09 0.16 0.17 0.31 0.07 0.11 0.25 0.41 0.09 0.18 0.28 0.57 0.14 0.22 0.26 0.5 0.14 0.21 0.15 0.31 0.05 0.1 0.4 0.76 0.22 0.32 0.38 0.66 0.19 0.28 0.12 0.26 0.07 0.07
PowerTwoLoci DomOrDom 2.6 10 0.0002000 0.22 0.33 0.13 0.18 0.16 0.31 0.09 0.13 0.25 0.39 0.13 0.19 0.28 0.5 0.09 0.2 0.25 0.46 0.08 0.2 0.14 0.29 0.09 0.14 0.4 0.69 0.11 0.26 0.36 0.64 0.11 0.24 0.15 0.29 0.08 0.12
PowerTwoLoci DomAndDom 1.2 10 0.0000000 0.61 0.7 0.51 0.57 0.54 0.62 0.45 0.51 0.57 0.71 0.5 0.54 0.62 0.78 0.49 0.56 0.59 0.79 0.48 0.57 0.63 0.74 0.54 0.63 0.68 0.82 0.54 0.65 0.68 0.84 0.54 0.66 0.54 0.62 0.44 0.53
PowerTwoLoci DomAndDom 1.2 10 0.0000500 0.25 0.37 0.19 0.21 0.19 0.32 0.13 0.18 0.27 0.41 0.18 0.22 0.34 0.61 0.15 0.26 0.32 0.56 0.16 0.24 0.24 0.39 0.14 0.22 0.4 0.71 0.18 0.33 0.37 0.64 0.19 0.3 0.2 0.3 0.12 0.19
PowerTwoLoci DomAndDom 1.2 10 0.0001000 0.14 0.17 0.06 0.13 0.11 0.15 0.03 0.09 0.14 0.21 0.08 0.13 0.14 0.52 0.08 0.09 0.13 0.45 0.06 0.09 0.08 0.25 0.02 0.06 0.21 0.61 0.09 0.14 0.2 0.55 0.07 0.11 0.09 0.15 0.03 0.06
PowerTwoLoci DomAndDom 1.2 10 0.0001500 0.08 0.2 0.05 0.07 0.07 0.12 0.02 0.05 0.08 0.26 0.06 0.07 0.19 0.44 0.03 0.16 0.19 0.37 0.03 0.14 0.09 0.18 0.02 0.04 0.25 0.61 0.04 0.18 0.23 0.53 0.04 0.16 0.06 0.11 0.02 0.05
PowerTwoLoci DomAndDom 1.2 10 0.0002000 0.08 0.17 0.04 0.07 0.07 0.13 0.04 0.06 0.08 0.22 0.05 0.06 0.15 0.44 0.05 0.11 0.13 0.4 0.04 0.09 0.07 0.17 0.02 0.05 0.2 0.65 0.04 0.15 0.19 0.59 0.03 0.11 0.06 0.11 0.04 0.04
PowerTwoLoci DomAndDom 1.6 10 0.0000000 0.67 0.72 0.58 0.64 0.61 0.67 0.51 0.58 0.64 0.72 0.57 0.61 0.66 0.8 0.58 0.63 0.66 0.81 0.58 0.65 0.73 0.77 0.59 0.67 0.71 0.83 0.62 0.67 0.7 0.83 0.62 0.67 0.63 0.69 0.54 0.6
PowerTwoLoci DomAndDom 1.6 10 0.0000500 0.37 0.45 0.25 0.31 0.29 0.43 0.2 0.23 0.37 0.49 0.23 0.33 0.45 0.7 0.25 0.41 0.43 0.64 0.23 0.4 0.36 0.51 0.24 0.32 0.51 0.77 0.27 0.44 0.47 0.71 0.25 0.43 0.3 0.39 0.21 0.24
PowerTwoLoci DomAndDom 1.6 10 0.0001000 0.2 0.27 0.12 0.2 0.16 0.25 0.09 0.13 0.22 0.3 0.13 0.2 0.25 0.51 0.11 0.18 0.23 0.43 0.1 0.17 0.19 0.27 0.06 0.11 0.29 0.62 0.13 0.23 0.28 0.51 0.11 0.21 0.15 0.24 0.08 0.12
PowerTwoLoci DomAndDom 1.6 10 0.0001500 0.1 0.25 0.06 0.08 0.07 0.17 0.04 0.05 0.1 0.28 0.06 0.09 0.24 0.47 0.05 0.15 0.23 0.39 0.06 0.12 0.13 0.17 0.04 0.09 0.33 0.64 0.07 0.23 0.33 0.54 0.08 0.17 0.07 0.14 0.03 0.07
PowerTwoLoci DomAndDom 1.6 10 0.0002000 0.12 0.23 0.06 0.09 0.1 0.2 0.04 0.08 0.14 0.27 0.07 0.1 0.2 0.51 0.07 0.13 0.16 0.4 0.06 0.12 0.08 0.21 0.06 0.07 0.25 0.7 0.09 0.15 0.22 0.6 0.08 0.17 0.09 0.14 0.04 0.07
PowerTwoLoci DomAndDom 2.0 10 0.0000000 0.68 0.72 0.65 0.67 0.63 0.7 0.6 0.62 0.68 0.72 0.62 0.67 0.71 0.8 0.62 0.69 0.71 0.8 0.62 0.66 0.71 0.74 0.65 0.69 0.77 0.87 0.64 0.73 0.77 0.86 0.65 0.71 0.65 0.69 0.62 0.64
PowerTwoLoci DomAndDom 2.0 10 0.0000500 0.39 0.52 0.34 0.36 0.36 0.49 0.33 0.35 0.38 0.54 0.35 0.37 0.48 0.7 0.33 0.45 0.46 0.64 0.32 0.43 0.43 0.54 0.32 0.39 0.54 0.8 0.37 0.47 0.53 0.72 0.36 0.45 0.35 0.45 0.33 0.35
PowerTwoLoci DomAndDom 2.0 10 0.0001000 0.27 0.34 0.15 0.24 0.2 0.3 0.15 0.18 0.26 0.35 0.17 0.23 0.3 0.57 0.16 0.22 0.26 0.51 0.15 0.22 0.21 0.31 0.12 0.19 0.35 0.72 0.17 0.26 0.3 0.65 0.15 0.24 0.19 0.28 0.14 0.16
PowerTwoLoci DomAndDom 2.0 10 0.0001500 0.13 0.28 0.06 0.11 0.11 0.2 0.05 0.06 0.13 0.31 0.06 0.1 0.26 0.51 0.08 0.19 0.22 0.47 0.08 0.18 0.14 0.21 0.05 0.11 0.36 0.7 0.15 0.3 0.34 0.61 0.11 0.29 0.07 0.18 0.06 0.06
PowerTwoLoci DomAndDom 2.0 10 0.0002000 0.17 0.3 0.11 0.15 0.15 0.22 0.07 0.12 0.2 0.31 0.13 0.17 0.23 0.49 0.11 0.16 0.21 0.45 0.08 0.14 0.11 0.28 0.06 0.1 0.33 0.69 0.12 0.2 0.3 0.66 0.11 0.19 0.13 0.19 0.07 0.1
PowerTwoLoci DomAndDom 2.4 10 0.0000000 0.71 0.76 0.67 0.69 0.65 0.71 0.63 0.65 0.69 0.76 0.67 0.67 0.74 0.83 0.67 0.73 0.75 0.8 0.66 0.72 0.72 0.79 0.68 0.71 0.77 0.9 0.68 0.75 0.77 0.86 0.68 0.74 0.67 0.69 0.64 0.66
PowerTwoLoci DomAndDom 2.4 10 0.0000500 0.48 0.58 0.39 0.43 0.41 0.52 0.35 0.39 0.47 0.57 0.38 0.42 0.53 0.73 0.4 0.48 0.52 0.7 0.39 0.47 0.51 0.58 0.38 0.48 0.57 0.8 0.4 0.5 0.57 0.73 0.39 0.5 0.43 0.52 0.36 0.39
PowerTwoLoci DomAndDom 2.4 10 0.0001000 0.29 0.36 0.2 0.27 0.28 0.32 0.19 0.25 0.3 0.38 0.24 0.29 0.34 0.65 0.2 0.3 0.29 0.57 0.19 0.27 0.23 0.37 0.15 0.2 0.37 0.8 0.21 0.33 0.33 0.68 0.19 0.3 0.26 0.32 0.17 0.23
PowerTwoLoci DomAndDom 2.4 10 0.0001500 0.16 0.38 0.09 0.14 0.14 0.33 0.06 0.09 0.26 0.38 0.09 0.15 0.27 0.55 0.11 0.24 0.25 0.48 0.09 0.22 0.14 0.26 0.04 0.13 0.4 0.71 0.17 0.33 0.36 0.66 0.13 0.31 0.12 0.26 0.06 0.07
PowerTwoLoci DomAndDom 2.4 10 0.0002000 0.18 0.34 0.12 0.18 0.2 0.26 0.09 0.14 0.2 0.38 0.13 0.19 0.24 0.47 0.09 0.18 0.24 0.45 0.08 0.13 0.14 0.29 0.05 0.12 0.34 0.67 0.1 0.2 0.33 0.64 0.1 0.18 0.15 0.24 0.07 0.12
PowerTwoLoci DomAndDom 2.6 10 0.0000000 0.72 0.75 0.68 0.71 0.66 0.7 0.64 0.65 0.71 0.76 0.66 0.69 0.75 0.85 0.7 0.73 0.75 0.82 0.66 0.72 0.73 0.81 0.69 0.73 0.77 0.89 0.71 0.74 0.77 0.86 0.69 0.73 0.66 0.72 0.65 0.66
PowerTwoLoci DomAndDom 2.6 10 0.0000500 0.52 0.58 0.43 0.48 0.46 0.54 0.36 0.4 0.49 0.62 0.39 0.46 0.57 0.71 0.42 0.49 0.55 0.68 0.41 0.51 0.53 0.59 0.44 0.51 0.62 0.79 0.42 0.52 0.61 0.74 0.42 0.54 0.46 0.53 0.38 0.43
PowerTwoLoci DomAndDom 2.6 10 0.0001000 0.31 0.38 0.21 0.28 0.3 0.34 0.18 0.27 0.32 0.39 0.25 0.28 0.37 0.65 0.23 0.28 0.3 0.58 0.2 0.28 0.25 0.37 0.14 0.18 0.42 0.77 0.23 0.32 0.35 0.69 0.21 0.31 0.26 0.32 0.17 0.23
PowerTwoLoci DomAndDom 2.6 10 0.0001500 0.21 0.4 0.09 0.16 0.18 0.31 0.07 0.11 0.25 0.4 0.09 0.18 0.28 0.58 0.13 0.21 0.26 0.51 0.13 0.21 0.15 0.31 0.05 0.11 0.4 0.76 0.21 0.31 0.38 0.66 0.18 0.28 0.12 0.26 0.07 0.07
PowerTwoLoci DomAndDom 2.6 10 0.0002000 0.23 0.33 0.13 0.18 0.17 0.31 0.09 0.13 0.26 0.38 0.13 0.19 0.28 0.5 0.09 0.2 0.25 0.46 0.08 0.2 0.14 0.3 0.09 0.14 0.41 0.7 0.11 0.27 0.37 0.65 0.11 0.25 0.15 0.29 0.08 0.12
PowerTwoLoci RecOrRec 1.2 10 0.0000000 0.57 0.65 0.49 0.53 0.51 0.61 0.45 0.47 0.56 0.67 0.47 0.54 0.62 0.77 0.44 0.57 0.6 0.73 0.44 0.56 0.59 0.73 0.51 0.55 0.67 0.83 0.51 0.61 0.66 0.81 0.51 0.61 0.51 0.6 0.46 0.5
PowerTwoLoci RecOrRec 1.2 10 0.0000500 0.24 0.38 0.15 0.19 0.18 0.33 0.11 0.15 0.22 0.39 0.15 0.21 0.31 0.59 0.14 0.25 0.29 0.55 0.14 0.26 0.25 0.4 0.11 0.22 0.42 0.74 0.17 0.34 0.37 0.66 0.16 0.32 0.18 0.3 0.11 0.15
PowerTwoLoci RecOrRec 1.2 10 0.0001000 0.13 0.2 0.03 0.11 0.09 0.16 0.02 0.06 0.12 0.24 0.06 0.1 0.16 0.49 0.06 0.13 0.15 0.4 0.04 0.11 0.09 0.19 0 0.08 0.2 0.6 0.07 0.14 0.19 0.46 0.05 0.13 0.06 0.12 0.02 0.03
PowerTwoLoci RecOrRec 1.2 10 0.0001500 0.09 0.14 0.03 0.06 0.05 0.1 0.02 0.04 0.07 0.21 0.03 0.06 0.17 0.47 0.04 0.11 0.14 0.35 0.02 0.1 0.07 0.17 0.03 0.04 0.25 0.65 0.04 0.16 0.21 0.52 0.04 0.14 0.05 0.08 0.02 0.02
PowerTwoLoci RecOrRec 1.2 10 0.0002000 0.07 0.14 0.04 0.06 0.07 0.13 0.03 0.07 0.09 0.22 0.05 0.07 0.15 0.43 0.04 0.1 0.13 0.38 0.04 0.08 0.08 0.17 0.01 0.02 0.26 0.65 0.04 0.14 0.21 0.58 0.04 0.12 0.07 0.09 0.03 0.05
PowerTwoLoci RecOrRec 1.6 10 0.0000000 0.63 0.71 0.52 0.58 0.53 0.63 0.47 0.51 0.61 0.72 0.5 0.58 0.64 0.76 0.51 0.59 0.61 0.77 0.51 0.58 0.66 0.72 0.55 0.63 0.73 0.81 0.56 0.68 0.71 0.8 0.56 0.68 0.54 0.66 0.48 0.51
PowerTwoLoci RecOrRec 1.6 10 0.0000500 0.27 0.4 0.17 0.23 0.2 0.36 0.12 0.19 0.28 0.43 0.16 0.2 0.38 0.63 0.17 0.26 0.35 0.58 0.2 0.25 0.29 0.42 0.16 0.26 0.45 0.74 0.2 0.32 0.4 0.65 0.23 0.3 0.22 0.32 0.13 0.21
PowerTwoLoci RecOrRec 1.6 10 0.0001000 0.13 0.23 0.08 0.13 0.11 0.21 0.04 0.09 0.14 0.24 0.08 0.14 0.16 0.55 0.08 0.12 0.16 0.46 0.06 0.11 0.12 0.26 0.03 0.09 0.22 0.63 0.09 0.16 0.2 0.53 0.07 0.14 0.1 0.17 0.04 0.08
PowerTwoLoci RecOrRec 1.6 10 0.0001500 0.07 0.19 0.05 0.07 0.06 0.13 0.03 0.06 0.08 0.25 0.05 0.07 0.19 0.47 0.05 0.17 0.21 0.4 0.04 0.16 0.07 0.2 0.04 0.05 0.25 0.63 0.06 0.21 0.26 0.52 0.05 0.17 0.06 0.11 0.02 0.06
PowerTwoLoci RecOrRec 1.6 10 0.0002000 0.08 0.19 0.04 0.06 0.06 0.13 0.03 0.05 0.11 0.2 0.04 0.08 0.16 0.43 0.05 0.1 0.14 0.4 0.04 0.09 0.07 0.17 0.03 0.05 0.23 0.68 0.05 0.15 0.19 0.61 0.04 0.13 0.05 0.11 0.03 0.05
PowerTwoLoci RecOrRec 2.0 10 0.0000000 0.65 0.72 0.58 0.64 0.58 0.68 0.51 0.54 0.63 0.73 0.54 0.6 0.66 0.77 0.55 0.62 0.65 0.77 0.55 0.63 0.69 0.74 0.59 0.67 0.72 0.81 0.61 0.66 0.69 0.8 0.61 0.67 0.61 0.68 0.51 0.58
PowerTwoLoci RecOrRec 2.0 10 0.0000500 0.32 0.45 0.24 0.29 0.25 0.44 0.18 0.24 0.34 0.46 0.21 0.29 0.42 0.68 0.25 0.36 0.42 0.6 0.22 0.35 0.33 0.47 0.22 0.31 0.48 0.76 0.26 0.39 0.46 0.66 0.23 0.36 0.26 0.39 0.21 0.25
